,coordinate1,coordinate2
c0,195,8
c1,84,108
c2,231,15
c3,48,12
c4,80,29
c5,133,66
c6,25,16
c7,186,92
c8,17,32
c9,222,38
c10,15,11
c11,202,76
c12,163,54
c13,2,69
c14,140,53
c15,33,66
c16,102,23
c17,186,25
c18,133,19
c19,94,68
c20,117,96
c21,209,18
c22,217,59
c23,25,15
c24,140,94
c25,5,8
c26,163,99
c27,222,33
c28,166,105
c29,147,66
c30,94,16
c31,97,86
c32,25,62
c33,179,16
c34,171,89
c35,87,14
c36,244,37
c37,85,45
c38,172,104
c39,140,29
c40,71,101
c41,74,30
c42,71,67
c43,71,19
c44,15,89
c45,97,76
c46,186,51
c47,179,30
c48,38,28
c49,107,84
c50,239,14
c51,179,38
c52,84,30
c53,163,16
c54,222,30
c55,103,5
c56,218,100
c57,150,84
c58,94,53
c59,195,67
c60,10,106
c61,189,43
c62,244,10
c63,75,118
c64,189,38
c65,133,25
c66,163,42
c67,61,25
c68,189,45
c69,126,118
c70,239,77
c71,51,35
c72,125,95
c73,38,105
c74,126,20
c75,131,96
c76,222,16
c77,41,101
c78,71,64
c79,140,35
c80,10,65
c81,94,83
c82,163,101
c83,212,56
c84,18,55
c85,148,89
c86,120,7
c87,179,27
c88,103,85
c89,209,26
c90,209,30
c91,17,77
c92,231,69
c93,163,55
c94,61,60
c95,15,105
c96,186,41
c97,73,118
c98,140,98
c99,94,39
c100,212,54
c101,55,10
c102,103,45
c103,12,5
c104,177,90
c105,3,81
c106,79,118
c107,218,118
c108,199,11
c109,163,12
c110,74,27
c111,186,45
c112,125,49
c113,40,18
c114,126,95
c115,2,83
c116,186,78
c117,163,28
c118,140,69
c119,71,80
c120,209,54
c121,51,105
c122,209,35
c123,153,27
c124,231,35
c125,246,64
c126,251,107
c127,209,84
c128,199,36
c129,48,52
c130,48,82
c131,193,48
c132,117,111
c133,117,43
c134,140,77
c135,251,77
c136,123,68
c137,64,92
c138,244,99
c139,195,40
c140,28,111
c141,117,54
c142,2,71
c143,102,83
c144,2,12
c145,120,41
c146,103,101
c147,79,29
c148,87,20
c149,132,111
c150,156,15
c151,25,64
c152,220,118
c153,48,25
c154,2,74
c155,222,84
c156,143,103
c157,222,35
c158,94,37
c159,58,109
c160,17,71
c161,57,45
c162,231,90
c163,71,21
c164,80,13
c165,163,97
c166,193,89
c167,143,44
c168,25,21
c169,48,20
c170,126,49
c171,238,68
c172,149,5
c173,57,107
c174,140,20
c175,166,99
c176,84,87
c177,199,6
c178,28,63
c179,163,76
c180,2,18
c181,125,13
c182,0,15
c183,234,20
c184,57,19
c185,34,8
c186,231,19
c187,71,107
c188,133,72
c189,2,88
c190,189,19
c191,124,27
c192,97,11
c193,56,52
c194,110,32
c195,231,39
c196,38,93
c197,179,62
c198,240,104
c199,25,69
c200,120,59
c201,222,112
c202,147,89
c203,222,56
c204,101,50
c205,5,66
c206,87,95
c207,186,50
c208,107,69
c209,77,118
c210,140,15
c211,35,108
c212,224,89
c213,147,28
c214,80,51
c215,244,30
c216,156,62
c217,163,33
c218,217,100
c219,149,70
c220,130,11
c221,126,28
c222,57,100
c223,239,34
c224,166,107
c225,18,86
c226,71,74
c227,246,65
c228,132,105
c229,189,6
c230,199,45
c231,48,32
c232,222,118
c233,216,118
c234,48,39
c235,17,20
c236,2,35
c237,186,30
c238,71,63
c239,212,11
c240,199,47
c241,79,107
c242,120,11
c243,71,13
c244,3,19
c245,110,33
c246,172,96
c247,57,57
c248,244,103
c249,71,99
c250,189,34
c251,178,49
c252,125,62
c253,2,77
c254,246,58
c255,97,80
c256,149,43
c257,97,92
c258,156,17
c259,241,5
c260,223,64
c261,156,40
c262,17,94
c263,33,106
c264,209,92
c265,186,94
c266,103,79
c267,94,30
c268,153,44
c269,209,21
c270,102,59
c271,166,86
c272,103,81
c273,94,51
c274,51,7
c275,80,107
c276,222,42
c277,176,25
c278,163,60
c279,209,60
c280,48,91
c281,0,27
c282,209,64
c283,32,14
c284,186,110
c285,140,51
c286,117,50
c287,143,48
c288,140,106
c289,163,38
c290,244,47
c291,209,38
c292,101,36
c293,48,88
c294,133,23
c295,222,11
c296,189,41
c297,32,101
c298,33,64
c299,87,61
c300,163,15
